,meteor_openrnn_opus,meteor_marianmt_pt,meteor_mbart_pt,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meteor_marianmt_pt,0.0,1.0,0.003178604181392375,0.0,0.0,8.202133416901347e-10,3.4861002973229915e-14,4.261775998770645e-08
meteor_mbart_pt,0.0,0.003178604181392375,1.0,0.0,0.0,0.0,0.0,0.0
meteor_google,0.0,0.0,0.0,1.0,0.591363236381815,1.5225223304327073e-09,5.275517449332412e-06,2.151367972658136e-11
meteor_chatgpt_p1,0.0,0.0,0.0,0.591363236381815,1.0,6.533720022816603e-05,0.017376086217787745,2.8012487276463105e-06
meteor_chatgpt_p2,0.0,8.202133416901347e-10,0.0,1.5225223304327073e-09,6.533720022816603e-05,1.0,0.8794978292902715,0.9987845261701982
meteor_maritaca_p1,0.0,3.4861002973229915e-14,0.0,5.275517449332412e-06,0.017376086217787745,0.8794978292902715,1.0,0.5104055541278323
meteor_maritaca_p2,0.0,4.261775998770645e-08,0.0,2.151367972658136e-11,2.8012487276463105e-06,0.9987845261701982,0.5104055541278323,1.0
