,bartscore_openrnn_opus,bartscore_marianmt_pt,bartscore_mbart_pt,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bartscore_marianmt_pt,0.0,1.0,0.8724523619747444,2.9321401695536764e-06,0.0,3.4416913763379853e-15,1.021405182655144e-13,0.0004210362305870907
bartscore_mbart_pt,0.0,0.8724523619747444,1.0,0.0019981560128305986,0.0,1.294329088352697e-10,2.2472267380280186e-09,0.06309844463989955
bartscore_google,0.0,2.9321401695536764e-06,0.0019981560128305986,1.0,2.227071088989341e-06,0.06018747063727681,0.17467774075254727,0.9745775927126127
bartscore_chatgpt_p1,0.0,0.0,0.0,2.227071088989341e-06,1.0,0.24113880113258135,0.09082900672508831,5.403409941706627e-09
bartscore_chatgpt_p2,0.0,3.4416913763379853e-15,1.294329088352697e-10,0.06018747063727681,0.24113880113258135,1.0,0.9999010586808079,0.0018676037677334278
bartscore_maritaca_p1,0.0,1.021405182655144e-13,2.2472267380280186e-09,0.17467774075254727,0.09082900672508831,0.9999010586808079,1.0,0.00919468780528987
bartscore_maritaca_p2,0.0,0.0004210362305870907,0.06309844463989955,0.9745775927126127,5.403409941706627e-09,0.0018676037677334278,0.00919468780528987,1.0
