,bertscore_openrnn,bertscore_marianmt,bertscore_mbart,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bertscore_marianmt,0.0,1.0,0.11745635749635841,0.0,0.0,0.0,0.0,4.942712905631197e-13
bertscore_mbart,0.0,0.11745635749635841,1.0,0.0,0.0,0.0,0.0,0.0
bertscore_google,0.0,0.0,0.0,1.0,0.004115485871077462,0.9999847213005318,0.9455863581446524,0.05470111849355275
bertscore_chatgpt_p1,0.0,0.0,0.0,0.004115485871077462,1.0,0.0011537467828902637,2.4181959376035067e-05,3.6884051368701876e-10
bertscore_chatgpt_p2,0.0,0.0,0.0,0.9999847213005318,0.0011537467828902637,1.0,0.9912431306228396,0.1275657953988404
bertscore_maritaca_p1,0.0,0.0,0.0,0.9455863581446524,2.4181959376035067e-05,0.9912431306228396,1.0,0.5855893354242176
bertscore_maritaca_p2,0.0,4.942712905631197e-13,0.0,0.05470111849355275,3.6884051368701876e-10,0.1275657953988404,0.5855893354242176,1.0
