,bleu_openrnn_opus,bleu_marianmt_pt,bleu_mbart_pt,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bleu_marianmt_pt,0.0,1.0,0.04387900028547442,0.0,0.0,1.2186918141310343e-12,2.7466917629226373e-13,3.5070679793580695e-07
bleu_mbart_pt,0.0,0.04387900028547442,1.0,0.0,0.0,0.0,0.0,0.0
bleu_google,0.0,0.0,0.0,1.0,0.8614415096953871,3.3612654095627192e-06,9.380454740970379e-06,2.4294011247150138e-11
bleu_chatgpt_p1,0.0,0.0,0.0,0.8614415096953871,1.0,0.002442589481612245,0.005137586710483255,2.3694272988095122e-07
bleu_chatgpt_p2,0.0,1.2186918141310343e-12,0.0,3.3612654095627192e-06,0.002442589481612245,1.0,0.9999995238680808,0.5798091957320705
bleu_maritaca_p1,0.0,2.7466917629226373e-13,0.0,9.380454740970379e-06,0.005137586710483255,0.9999995238680808,1.0,0.44789840096322764
bleu_maritaca_p2,0.0,3.5070679793580695e-07,0.0,2.4294011247150138e-11,2.3694272988095122e-07,0.5798091957320705,0.44789840096322764,1.0
