model,average_rank
maritaca_p2,2.816666666666667
chatgpt_p1,2.8666666666666667
chatgpt_p2,2.933333333333333
maritaca_p1,3.203333333333333
google,3.72
marianmt_pt,5.536666666666667
mbart_pt,6.966666666666667
openrnn_opus,7.956666666666667
