,meteor_openrnn_opus,meteor_marianmt_pt,meteor_mbart_pt,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.0,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0
meteor_marianmt_pt,0.0,1.0,1.9350110402882592e-09,0.0,0.0,3.929079284148429e-12,4.834666000874677e-11,2.5304203177256568e-12
meteor_mbart_pt,6.661338147750939e-16,1.9350110402882592e-09,1.0,0.0,0.0,0.0,0.0,0.0
meteor_google,0.0,0.0,0.0,1.0,0.9896456308820354,0.11878871130605595,0.046811711383546006,0.13702833824460037
meteor_chatgpt_p1,0.0,0.0,0.0,0.9896456308820354,1.0,0.5819527743741058,0.35379780071141576,0.6221478581981901
meteor_chatgpt_p2,0.0,3.929079284148429e-12,0.0,0.11878871130605595,0.5819527743741058,1.0,0.9999745916169048,0.9999999998833712
meteor_maritaca_p1,0.0,4.834666000874677e-11,0.0,0.046811711383546006,0.35379780071141576,0.9999745916169048,1.0,0.9999257583617659
meteor_maritaca_p2,0.0,2.5304203177256568e-12,0.0,0.13702833824460037,0.6221478581981901,0.9999999998833712,0.9999257583617659,1.0
