,bartscore_openrnn_opus,bartscore_marianmt_pt,bartscore_mbart_pt,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bartscore_marianmt_pt,0.0,1.0,0.277367851031321,1.8402501744674282e-11,0.001460825619580497,0.0002993540090056035,1.167339008345536e-05,9.141576384763539e-13
bartscore_mbart_pt,0.0,0.277367851031321,1.0,0.0,5.788820089946967e-09,5.011817627575965e-10,4.182654222972815e-12,0.0
bartscore_google,0.0,1.8402501744674282e-11,0.0,1.0,0.0337284984279399,0.09605936996319697,0.39549254739508644,0.999925758361766
bartscore_chatgpt_p1,0.0,0.001460825619580497,5.788820089946967e-09,0.0337284984279399,1.0,0.999958874076819,0.96973978731081,0.008847130904851785
bartscore_chatgpt_p2,0.0,0.0002993540090056035,5.011817627575965e-10,0.09605936996319697,0.999958874076819,1.0,0.9978343509690911,0.030399924926043265
bartscore_maritaca_p1,0.0,1.167339008345536e-05,4.182654222972815e-12,0.39549254739508644,0.96973978731081,0.9978343509690911,1.0,0.18306087941725602
bartscore_maritaca_p2,0.0,9.141576384763539e-13,0.0,0.999925758361766,0.008847130904851785,0.030399924926043265,0.18306087941725602,1.0
