,bleu_openrnn_opus,bleu_marianmt_pt,bleu_mbart_pt,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bleu_marianmt_pt,0.0,1.0,3.5305900047966077e-07,0.0,1.5543122344752192e-15,8.573142196155459e-13,8.81639206085083e-12,3.8746783559417963e-14
bleu_mbart_pt,0.0,3.5305900047966077e-07,1.0,0.0,0.0,0.0,0.0,0.0
bleu_google,0.0,0.0,0.0,1.0,0.8968931854584726,0.42801118244475567,0.24723495116761252,0.6946417684591982
bleu_chatgpt_p1,0.0,1.5543122344752192e-15,0.0,0.8968931854584726,1.0,0.9944316285361513,0.9607757654391018,0.9999443656693986
bleu_chatgpt_p2,0.0,8.573142196155459e-13,0.0,0.42801118244475567,0.9944316285361513,1.0,0.9999874196398656,0.9999356268549034
bleu_maritaca_p1,0.0,8.81639206085083e-12,0.0,0.24723495116761252,0.9607757654391018,0.9999874196398656,1.0,0.9970489668065301
bleu_maritaca_p2,0.0,3.8746783559417963e-14,0.0,0.6946417684591982,0.9999443656693986,0.9999356268549034,0.9970489668065301,1.0
