,bertscore_openrnn,bertscore_marianmt,bertscore_mbart,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bertscore_marianmt,0.0,1.0,0.023301330713957347,0.0,0.0,3.8746783559417963e-14,0.0,0.0
bertscore_mbart,0.0,0.023301330713957347,1.0,0.0,0.0,0.0,0.0,0.0
bertscore_google,0.0,0.0,0.0,1.0,1.3161997691746308e-07,3.695932448977146e-13,5.285137096411319e-06,0.00996492519834069
bertscore_chatgpt_p1,0.0,0.0,0.0,1.3161997691746308e-07,1.0,0.5877211449739965,0.9981577431945677,0.2773678510313222
bertscore_chatgpt_p2,0.0,3.8746783559417963e-14,0.0,3.695932448977146e-13,0.5877211449739965,1.0,0.19700066942814187,0.0007773483360905553
bertscore_maritaca_p1,0.0,0.0,0.0,5.285137096411319e-06,0.9981577431945677,0.19700066942814187,1.0,0.7000425001369904
bertscore_maritaca_p2,0.0,0.0,0.0,0.00996492519834069,0.2773678510313222,0.0007773483360905553,0.7000425001369904,1.0
