poema_id,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
1,0.5948046445846558,0.5547611713409424,0.7793210744857788,0.7292607426643372,0.784770131111145,0.7358149290084839,0.8069308400154114,0.8114302158355713,0.8183408975601196,0.8264515995979309,0.9259677529335022
2,0.619763970375061,0.5287448167800903,0.768393874168396,0.7614085078239441,0.7248920798301697,0.7612545490264893,0.7389007210731506,0.7790834307670593,0.7743474245071411,0.7323846817016602,0.7452617287635803
3,0.5654646158218384,0.5908979177474976,0.7353378534317017,0.7275316715240479,0.7932162880897522,0.734589159488678,0.753061830997467,0.7457622289657593,0.7256701588630676,0.7944832444190979,0.7991349101066589
4,0.5775556564331055,0.5910832285881042,0.8348396420478821,0.7875751852989197,0.837317705154419,0.8323274254798889,0.7727687954902649,0.7976306676864624,0.7574819326400757,0.7912007570266724,0.8479886651039124
5,0.5719896554946899,0.592917263507843,0.7652016878128052,0.7763482332229614,0.7601320147514343,0.7834425568580627,0.7856607437133789,0.78104168176651,0.7596602439880371,0.794916033744812,0.8014721870422363
6,0.6106762886047363,0.5768132209777832,0.7588427066802979,0.8377662897109985,0.7647688984870911,0.8175923824310303,0.7910746932029724,0.7711553573608398,0.7706777453422546,0.7756119966506958,0.7733899354934692
7,0.5807927250862122,0.5784612894058228,0.7880129814147949,0.7890636920928955,0.7987441420555115,0.7682297229766846,0.8022162318229675,0.8035439848899841,0.8101179003715515,0.8135199546813965,0.7628399133682251
8,0.6035535335540771,0.5439845323562622,0.7720181345939636,0.7736841440200806,0.7690023183822632,0.7815915942192078,0.7876553535461426,0.7830235362052917,0.7671385407447815,0.7715957760810852,0.7669925689697266
9,0.5361809134483337,0.5564209818840027,0.7702755928039551,0.7861669063568115,0.7598546147346497,0.8008676767349243,0.8056955337524414,0.7806915044784546,0.7659579515457153,0.7704197764396667,0.8036038875579834
10,0.5568390488624573,0.5281067490577698,0.7548949122428894,0.7561956644058228,0.7417200803756714,0.7640776038169861,0.7643359899520874,0.7708263397216797,0.783190131187439,0.7683033347129822,0.7652381658554077
