poema_id,bleu_openrnn_opus,meteor_openrnn_opus,bertscore_openrnn_opus,bartscore_openrnn_opus,bleu_openrnn_ft,meteor_openrnn_ft,bertscore_openrnn_ft,bartscore_openrnn_ft,bleu_marianmt_pt,meteor_marianmt_pt,bertscore_marianmt_pt,bartscore_marianmt_pt,bleu_marianmt_ft,meteor_marianmt_ft,bertscore_marianmt_ft,bartscore_marianmt_ft,bleu_mbart_pt,meteor_mbart_pt,bertscore_mbart_pt,bartscore_mbart_pt,bleu_mbart_ft,meteor_mbart_ft,bertscore_mbart_ft,bartscore_mbart_ft,bleu_google,meteor_google,bertscore_google,bartscore_google,bleu_chatgpt_p1,meteor_chatgpt_p1,bertscore_chatgpt_p1,bartscore_chatgpt_p1,bleu_chatgpt_p2,meteor_chatgpt_p2,bertscore_chatgpt_p2,bartscore_chatgpt_p2,bleu_maritaca_p1,meteor_maritaca_p1,bertscore_maritaca_p1,bartscore_maritaca_p1,bleu_maritaca_p2,meteor_maritaca_p2,bertscore_maritaca_p2,bartscore_maritaca_p2
2,0.071793272571387,0.2877572125023743,0.8072343468666077,0.80669713,0.0380435075415332,0.1674495350996524,0.7606238722801208,0.79727983,0.3431539673838933,0.6573272283475028,0.9210516214370728,0.96731865,0.1196855107723328,0.2563775637498812,0.8423448204994202,0.91295725,0.3355378534597403,0.6200084809097263,0.914297103881836,0.97193867,0.2119906324889139,0.3509631477081232,0.8604688048362732,0.9345547,0.5706765625954705,0.772163108193406,0.949696719646454,0.97692347,0.4035213499598684,0.6537727150625456,0.9445532560348512,0.9703127,0.3133543325795092,0.6014031709603517,0.9359237551689148,0.9662094,0.4412960635871709,0.7399452017368313,0.9323690533638,0.97536117,0.4280855293985628,0.6798300390280749,0.926158607006073,0.97069836
3,0.0147436488739408,0.2289704729053361,0.7717719078063965,0.6890362,0.0561488531160053,0.2028277292619381,0.7929580211639404,0.8449533,0.393320934384961,0.6824387309184908,0.930534601211548,0.96158326,0.1499961149375354,0.3751722006814315,0.8397330641746521,0.9219321,0.3131227809332126,0.7112846971542369,0.9025667905807496,0.93859994,0.2743656539366557,0.5968195729235144,0.8790621757507324,0.9590317,0.6151434911983009,0.844964936023622,0.946380615234375,0.9671681,0.5527952920519813,0.8196358267716536,0.9527856707572936,0.97154397,0.5238318873385356,0.808411867798898,0.9464479088783264,0.9702165,0.521385061206537,0.7778195223720199,0.9457924962043762,0.96978873,0.4858759412384341,0.7177822813561645,0.940704882144928,0.965186
4,0.0160799638805688,0.1235504477098212,0.7068888545036316,0.6308026,0.0544867498970549,0.1581113512961481,0.803217351436615,0.78168076,0.3058104571991414,0.5422683843847868,0.908015787601471,0.9795084,0.3674646498072597,0.6268986589836006,0.8960334658622742,0.95106435,0.2224183591804317,0.4073625213918996,0.8919135928153992,0.9692072,0.2870554371170404,0.5879233385090391,0.900019645690918,0.9579147,0.3345111409328227,0.5766609387520031,0.9133124947547911,0.9753768,0.3832243079383456,0.6461774753024379,0.9137289524078368,0.9781743,0.2638899928212331,0.5351933688386898,0.869756817817688,0.9214313,0.3096684808413033,0.5825629832240671,0.9038677215576172,0.974532,0.3914841581908387,0.5990754638904497,0.9083330035209656,0.9761542
5,0.0647181294798487,0.3235016335645537,0.7938456535339355,0.9575631,0.0539793083220063,0.2929130803038973,0.7916421890258789,0.84356594,0.245680379243012,0.4997243057569449,0.8953017592430115,0.97617865,0.2710228670244637,0.6091085765505637,0.8789750337600708,0.9108527,0.2736141251959928,0.4859832354538533,0.8902956247329712,0.992815,0.265244312290856,0.6196863110351651,0.8755967020988464,0.9096141,0.3221964643971714,0.5546938731351504,0.9191036820411682,0.9922058,0.3453134913058654,0.5787404178234588,0.9196066856384276,0.9929031,0.3343828704414407,0.560929380196146,0.9193984270095824,0.99330056,0.3082262299857327,0.5590085986178356,0.8816428780555725,0.98734933,0.4894175839423032,0.8494208716132239,0.8888126611709595,0.97981846
6,0.0044220138703517,0.1120987645596712,0.7205485105514526,0.7364122,0.0116863480362351,0.1840090601112562,0.8013503551483154,0.8323032,0.2821609911843503,0.5364357588343952,0.8975385427474976,0.9894633,0.0722374216697486,0.2371352481811141,0.7616837620735168,0.7767065,0.2443297789438566,0.4470255458537802,0.8839948177337646,0.9874026,0.0245598694965908,0.031023784901758,0.7690721750259399,0.67478985,0.3653428012433244,0.5903699544139542,0.900012195110321,0.9867077,0.4306309890054574,0.6121031625878645,0.9212416410446168,0.99047554,0.4219653354619415,0.5904121177180517,0.9031121730804444,0.98119897,0.354110029741071,0.5566065317938356,0.914724051952362,0.9900669,0.3357256063549802,0.5329919058249685,0.9147801399230956,0.9893904
7,0.0213283019277219,0.2897948800695478,0.789758026599884,0.9219509,0.0513474798838518,0.2027803828920013,0.8130759596824646,0.8226091,0.2496897219382576,0.5371047204014975,0.9001440405845642,0.9627279,0.3497183261837172,0.6503509359775355,0.8869967460632324,0.954468,0.1978832256005546,0.5445547361038594,0.8984349966049194,0.9849837,0.373879429774379,0.6313425808725935,0.9023770689964294,0.9593713,0.3751183479100147,0.6966050562483506,0.9076485633850098,0.96386313,0.4059316976623896,0.6763293691244762,0.928817093372345,0.984483,0.3952647223539827,0.6443122361682203,0.9266413450241088,0.9868045,0.3730212422199894,0.6370658102740012,0.927100419998169,0.9846778,0.3749887241719478,0.6130254243461791,0.910530686378479,0.97012883
8,0.0521623071176122,0.2707217861409143,0.8082595467567444,0.8919379,0.0318566405647981,0.1965615015648109,0.8092476725578308,0.7636137,0.38445832755235,0.6379582888680023,0.9213160276412964,0.9897849,0.2189419456606709,0.5345966145296954,0.8922824859619141,0.85214734,0.3149537679689388,0.5950136472606884,0.9132469892501832,0.99131256,0.215746104905131,0.5167356434717546,0.8893236517906189,0.85264313,0.5071120352034114,0.5885917425028436,0.942065954208374,0.9930437,0.4158900626403534,0.5121814609669237,0.9382461905479432,0.99399596,0.4116644768590556,0.5008708772775291,0.9366152882575988,0.9932809,0.3746947000492167,0.5505368251567738,0.9362927675247192,0.99154663,0.3527659153488268,0.5163563914954539,0.9350038170814514,0.9907233
9,0.030858254478594,0.3020927029570732,0.7930760979652405,0.9248524,0.0460336322284564,0.192354745405769,0.7952525615692139,0.77657485,0.243135269640302,0.5041670642566266,0.9109246134757996,0.97071,0.3363623113415941,0.6278366719867963,0.8863006234169006,0.9028095,0.1836705662903735,0.4440620442206485,0.8974677920341492,0.983689,0.2611907909143596,0.5635712237665877,0.8866108655929565,0.89972264,0.3708751899486891,0.6711268558427466,0.9410914778709412,0.989498,0.4073093050063396,0.6578833007354389,0.9408248662948608,0.9888352,0.3527746278372246,0.61746259356972,0.9347275495529176,0.9889028,0.3912553281147557,0.6640566368438868,0.9451833963394164,0.99438393,0.3477067868593862,0.6163875675365322,0.944641888141632,0.9935826
10,0.0108434651132862,0.1970873719619996,0.7842329740524292,0.77924466,0.0284195494177539,0.1453680917622523,0.7884668111801147,0.8097165,0.0375127401154982,0.3365371163155097,0.8785300254821777,0.92612284,0.3443338707333322,0.6540454773754623,0.9015892148017884,0.90772235,0.0594754640967269,0.3493764492072445,0.8991546034812927,0.9613923,0.3761114909806848,0.6960410573496277,0.8938643932342529,0.9052675,0.1268963685758945,0.48153993106026,0.8785635232925415,0.6457364,0.1172589420384135,0.4237851662404092,0.901000440120697,0.9536449,0.122321613414927,0.4733777568998614,0.8524913787841797,0.8414204,0.1266338969504859,0.4635437551316568,0.8999439477920532,0.9645865,0.1195993880930079,0.4532804857480181,0.904360294342041,0.9587934
11,0.0052400418766632,0.1262888758165411,0.7333564162254333,0.76907897,0.0283485590683035,0.1305133901376705,0.7550942897796631,0.69422805,0.1059901147150758,0.1898026314685739,0.8242544531822205,0.8764289,0.1694498271683076,0.3554478525060801,0.8385950922966003,0.8411813,0.050233588033627,0.249017113366867,0.8703725934028625,0.8565532,0.3485135747013493,0.6677154046731282,0.90593022108078,0.9747349,0.4580048704756642,0.8064878728323295,0.915396809577942,0.99121916,0.1600691157251019,0.6946671851534005,0.8727450966835022,0.9566828,0.1839289029637418,0.6712321163321714,0.877363920211792,0.95646673,0.4822316901878045,0.7977682316684379,0.9252648949623108,0.9953036,0.7195529187208349,0.8381601452827179,0.950111210346222,0.99019676
