poema_id,bleu_openrnn_opus,meteor_openrnn_opus,bertscore_openrnn_opus,bartscore_openrnn_opus,bleu_openrnn_ft,meteor_openrnn_ft,bertscore_openrnn_ft,bartscore_openrnn_ft,bleu_marianmt_pt,meteor_marianmt_pt,bertscore_marianmt_pt,bartscore_marianmt_pt,bleu_marianmt_ft,meteor_marianmt_ft,bertscore_marianmt_ft,bartscore_marianmt_ft,bleu_mbart_pt,meteor_mbart_pt,bertscore_mbart_pt,bartscore_mbart_pt,bleu_mbart_ft,meteor_mbart_ft,bertscore_mbart_ft,bartscore_mbart_ft,bleu_google,meteor_google,bertscore_google,bartscore_google,bleu_chatgpt_p1,meteor_chatgpt_p1,bertscore_chatgpt_p1,bartscore_chatgpt_p1,bleu_chatgpt_p2,meteor_chatgpt_p2,bertscore_chatgpt_p2,bartscore_chatgpt_p2,bleu_maritaca_p1,meteor_maritaca_p1,bertscore_maritaca_p1,bartscore_maritaca_p1,bleu_maritaca_p2,meteor_maritaca_p2,bertscore_maritaca_p2,bartscore_maritaca_p2
32,0.036064659764853,0.221951582667466,0.5962793827056885,0.84670466,,,,,0.3066992665289267,0.5819803506637625,0.8512004017829895,0.97676885,,,,,0.0911287940369005,0.256435024194587,0.725429356098175,0.93312514,,,,,0.3989993685217101,0.6560917573143286,0.8825836181640625,0.80693537,0.5115242439927766,0.7461312575657106,0.906092643737793,0.9670792,0.5038030250626546,0.7110487699611566,0.8600621819496155,0.9248995,0.5270379423469218,0.7399500323178207,0.9129527807235718,0.7038033,0.4509378436665828,0.6645836990954836,0.8943153619766235,0.92325425
33,0.0767151703778322,0.366449916542081,0.6496610641479492,0.8679271,,,,,0.2709894372410343,0.5401769987248252,0.8322222828865051,0.90984285,,,,,0.1812720555818141,0.3680596817851719,0.7658120393753052,0.954239,,,,,0.4257432982992777,0.6767778954091621,0.8925607204437256,0.9924759,0.5553912296704059,0.7817156328090318,0.912703573703766,0.99343073,0.5238693351254805,0.7624929784340767,0.9089348316192628,0.9948438,0.4743819554845799,0.7334335899575803,0.8544908165931702,0.98555225,0.4619629416543479,0.6593562817499431,0.8829039335250854,0.99052626
34,0.0291398079177178,0.1782000347072496,0.5857864022254944,0.79523593,,,,,0.1521918733032513,0.3209733412223765,0.7701473832130432,0.97356313,,,,,0.1305199152558609,0.2867187973570952,0.7066015005111694,0.96443975,,,,,0.1802449156789881,0.3420631230952012,0.8509663939476013,0.9815506,0.3398503864258679,0.4880939719752205,0.8200688362121582,0.9906626,0.2859113601460327,0.4642786082563411,0.7897686958312988,0.98226213,0.3428604136752841,0.5849743223480597,0.8331120014190674,0.9905212,0.3186537313895424,0.5756840823170813,0.8298457860946655,0.9898356
35,0.0503975910473799,0.2358833205046926,0.6106772422790527,0.81311345,,,,,0.2617120656229179,0.582790715426576,0.8044039011001587,0.98234165,,,,,0.0686552271338207,0.2087954072041863,0.7392435669898987,0.94077635,,,,,0.3545241596602179,0.6317412884061088,0.8591077923774719,0.9785486,0.4017343545187133,0.5900951072028475,0.8640953898429871,0.9869277,0.3395255003530198,0.5622567221142902,0.8768137693405151,0.96444535,0.4406235396374536,0.6859096934978335,0.8685506582260132,0.9747484,0.4471745073893264,0.6823693913601985,0.8918306231498718,0.9856169
36,0.0132011694915742,0.1633751805475614,0.6174943447113037,0.8687012,,,,,0.3437794820124681,0.6215469613259669,0.8363116979598999,0.9806075,,,,,0.0353657488734353,0.2079475096417723,0.6945966482162476,0.9160006,,,,,0.3212887525719534,0.6201807027918848,0.86530601978302,0.9830179,0.2582496968555555,0.548065886134068,0.7973528504371643,0.9807384,0.2612388121877008,0.6280252115471673,0.8232555985450745,0.981879,0.3092355052054886,0.6153830171299483,0.7802547812461853,0.98048186,0.2804979681121661,0.5965549348230912,0.8135481476783752,0.9795619
37,0.0243036667733141,0.2808676307007786,0.6083897948265076,0.89462614,,,,,0.2529242861483576,0.5981133463997733,0.7637182474136353,0.9741797,,,,,0.1509389967304129,0.3472213289426857,0.6949235200881958,0.94183105,,,,,0.3530323932822012,0.6424492385786802,0.8888450860977173,0.9795825,0.4270489641951164,0.6958987254597656,0.8914169073104858,0.9683281,0.3755006651767842,0.6604477408620979,0.9156082272529602,0.96217656,0.4109909436331215,0.6462139743837156,0.8853754997253418,0.9905627,0.4325969137532007,0.6651273735664598,0.8891423940658569,0.99080485
38,0.0579723481142561,0.3066388799698458,0.6369678974151611,0.87685645,,,,,0.3217571407868184,0.5386651292969175,0.8167666792869568,0.98232985,,,,,0.1154847648531989,0.3425299732277965,0.7341851592063904,0.93165386,,,,,0.3476835641586617,0.5641137022319793,0.8569343090057373,0.9873394,0.3674301744747216,0.6436219682374935,0.812424898147583,0.9822159,0.3593266604366328,0.6407374100719425,0.8755055665969849,0.9819934,0.5327842315909028,0.7403598285162315,0.9026029109954834,0.8045948,0.4727710187273954,0.6939885715996073,0.8299565315246582,0.98240876
39,0.0241994006259518,0.1848762638245784,0.6177654266357422,0.84899753,,,,,0.2895185176045667,0.4999303643194012,0.7838769555091858,0.9667534,,,,,0.2027429217826886,0.3718264818643326,0.7572170495986938,0.9308164,,,,,0.3521500690299574,0.5178505649045747,0.8209545612335205,0.9778375,0.4539953560019778,0.6443329807549644,0.8485516905784607,0.971365,0.4773090089930443,0.6099975778480927,0.847003698348999,0.97292113,0.4387502939751321,0.6424136834164321,0.8515892624855042,0.97167444,0.42572328900596,0.5883413187619491,0.8465809226036072,0.9513403
40,0.1167000890558022,0.3226064291937147,0.6652567386627197,0.91707534,,,,,0.3035991349692725,0.5629579704329086,0.8522268533706665,0.99040157,,,,,0.416224563775455,0.5681425467300824,0.8558753728866577,0.9890331,,,,,0.4202897023236523,0.6222921132488488,0.8951513767242432,0.9939242,0.408209403135348,0.6416106852907837,0.8754117488861084,0.9923715,0.4555536022715898,0.6833689206885841,0.8945591449737549,0.99218726,0.5131180373899327,0.7331562259206856,0.9087539315223694,0.9895902,0.4717971857952296,0.6807819245003365,0.8982458710670471,0.9946257
41,0.0308771912162852,0.2329347116185843,0.5937973856925964,0.79966533,,,,,0.4557350601250183,0.7417983469697914,0.8678479194641113,0.98310316,,,,,0.1576027587097926,0.426684959698165,0.7607062458992004,0.92200357,,,,,0.4857758030985213,0.7337512256618574,0.915361225605011,0.9891145,0.4666882820067251,0.7337512256618574,0.9201629161834716,0.98969316,0.4379813611979058,0.6886846925391854,0.8921516537666321,0.9868081,0.4417081365094857,0.6882614627772012,0.9077550172805786,0.9892991,0.4187352644627609,0.7112457428922714,0.913946270942688,0.98891777
