poema_id,bleu_openrnn_opus,meteor_openrnn_opus,bertscore_openrnn_opus,bartscore_openrnn_opus,bleu_openrnn_ft,meteor_openrnn_ft,bertscore_openrnn_ft,bartscore_openrnn_ft,bleu_marianmt_pt,meteor_marianmt_pt,bertscore_marianmt_pt,bartscore_marianmt_pt,bleu_marianmt_ft,meteor_marianmt_ft,bertscore_marianmt_ft,bartscore_marianmt_ft,bleu_mbart_pt,meteor_mbart_pt,bertscore_mbart_pt,bartscore_mbart_pt,bleu_mbart_ft,meteor_mbart_ft,bertscore_mbart_ft,bartscore_mbart_ft,bleu_google,meteor_google,bertscore_google,bartscore_google,bleu_chatgpt_p1,meteor_chatgpt_p1,bertscore_chatgpt_p1,bartscore_chatgpt_p1,bleu_chatgpt_p2,meteor_chatgpt_p2,bertscore_chatgpt_p2,bartscore_chatgpt_p2,bleu_maritaca_p1,meteor_maritaca_p1,bertscore_maritaca_p1,bartscore_maritaca_p1,bleu_maritaca_p2,meteor_maritaca_p2,bertscore_maritaca_p2,bartscore_maritaca_p2
1,0.0591317600394441,0.2700666243654822,0.8105931282043457,0.89091015,0.0540027761481602,0.2523912557882015,0.8011025190353394,0.80771637,0.3821224693361468,0.6406689519812594,0.909828782081604,0.97487813,0.2177541407202112,0.5533408993754688,0.887621283531189,0.9672569,0.1789917001945893,0.4714545996793631,0.8668555021286011,0.9395596,0.4321495299065208,0.656265405197318,0.9039160013198853,0.92775637,0.5040316133818304,0.7806948176583492,0.9343246817588806,0.98559093,0.4101595315879249,0.7275220465367896,0.91681969165802,0.98399174,0.4154761265834054,0.6965885256753064,0.9274219274520874,0.988822,0.3924958483898719,0.7284834323519975,0.9089038372039796,0.93038654,0.3456350899867469,0.6522596498358271,0.921585500240326,0.9876363
2,0.0719747731058608,0.3029139990120396,0.8066800832748413,0.69905746,0.0252860661694749,0.2527464370546318,0.8090106248855591,0.808673,0.3778543595312623,0.6617454252589388,0.9077420830726624,0.9283286,0.1039665896471802,0.4331309900076144,0.8432374000549316,0.77365893,0.184975557603517,0.4520767354205707,0.8623524308204651,0.89710635,0.1796296969304847,0.5491427427549296,0.8809574246406555,0.9189144,0.4479659299074847,0.7919901590100423,0.9473037123680116,0.973474,0.5040061891419166,0.7796872339025231,0.949065923690796,0.97769123,0.5165512158564268,0.7499756759231703,0.9559013247489928,0.9784656,0.55977015756698,0.8208305180386943,0.9414554238319396,0.9745549,0.4314084420145417,0.7259056820795952,0.9368101358413696,0.9739467
3,0.0258499552403072,0.3056210423477982,0.7783210873603821,0.95585215,0.0294076820278509,0.2624362657091562,0.7948319315910339,0.8375751,0.2058437239068283,0.4903177673929072,0.8818708658218384,0.97140604,0.036637984941593,0.308065177040859,0.8241263628005981,0.89786094,0.0478273119711646,0.3579585606115267,0.8072940111160278,0.9117545,0.0207337956817138,0.0855018587360594,0.742046594619751,0.58538675,0.3126248705831592,0.5848206876677096,0.9130978584289552,0.99441826,0.2607306944783471,0.5346112352545267,0.9025282859802246,0.9948845,0.2596051404023325,0.5630085464124427,0.9134579300880432,0.9948997,0.2796451491960252,0.5493052434937568,0.8899087309837341,0.9843747,0.9592956421802504,0.9869366106808306,0.9569501280784608,0.9892815
4,0.0405099261541804,0.3363965022043118,0.8116358518600464,0.80330604,0.1098218507337431,0.3077212696941612,0.816708505153656,0.8340319,0.1862207449769917,0.553930792657583,0.8960427641868591,0.9599556,0.3458929596613412,0.6124107463913289,0.8944191336631775,0.9593123,0.1314497286845233,0.381686826855484,0.8745378255844116,0.9397214,0.5293460728381026,0.7493896218682825,0.9156466722488404,0.9259025,0.2080067897799017,0.6106019277517101,0.9257037043571472,0.9775604,0.2443828093000472,0.5271296122445015,0.9209983944892884,0.97550285,0.2366110911351749,0.5188832773902055,0.9121426939964294,0.9680804,0.2168084534510558,0.5111461538461539,0.910006821155548,0.93521917,0.1957666511018641,0.4865644708665085,0.901345193386078,0.9610373
5,0.0116210429854995,0.2035908078194624,0.7772359848022461,0.79096484,0.0315268742085306,0.1492035128398764,0.7938120365142822,0.82744145,0.0998586619831147,0.4710233446242833,0.8566794991493225,0.9006079,0.0711408630588803,0.3642437540866751,0.7796262502670288,0.704376,0.0683849361711926,0.3812717337307501,0.8416186571121216,0.9000379,0.3584910750899928,0.4385469285411096,0.885017991065979,0.9434014,0.3104469894120935,0.6744058678467671,0.8831821084022522,0.84593403,0.285350452568027,0.611385453628002,0.912626564502716,0.980103,0.2677308095943078,0.594329622987066,0.90875643491745,0.97915596,0.3261036000043997,0.6717828247105059,0.9118974804878236,0.9764147,0.3854400784099371,0.6708467930961004,0.9138996005058287,0.9792501
6,0.0860468406275329,0.3051595158900005,0.8033688068389893,0.8944612,0.0198575841084307,0.2013199577613516,0.7876461148262024,0.7623539,0.2806107562238482,0.5842251919364131,0.9035475254058838,0.99251544,0.1436635877021332,0.6940753088738626,0.8785461187362671,0.93527883,0.1618266558176301,0.4053466016746953,0.8633094429969788,0.97136104,0.2843371653610896,0.6924165294721396,0.8794571757316589,0.81373894,0.3556304707206175,0.5934679248709462,0.9210342168807985,0.98291606,0.3317809703756516,0.5901629862169515,0.9169847369194032,0.9932796,0.3611834136171324,0.6153084351582574,0.9192690253257751,0.99294305,0.3103790241482174,0.5934594006858429,0.921473503112793,0.9934514,0.9366354043188214,0.969668557730753,0.955485701560974,0.9893537
7,0.0259150679696261,0.2670383365821961,0.773830771446228,0.8785802,0.0328348405548941,0.2140915633303808,0.7797850966453552,0.88462204,0.0400426340445856,0.2851269746866934,0.8458435535430908,0.9638603,0.0842569352124431,0.3556089242004734,0.7757886648178101,0.91090775,0.0525289464834027,0.2736782507580247,0.8304752111434937,0.9505187,0.1461350563340275,0.4034540379758933,0.8403840065002441,0.9359689,0.0585125638469984,0.2957027203481579,0.856487512588501,0.94735855,0.0538540396282377,0.3107043239271242,0.8549616932868958,0.9490148,0.0644843714009644,0.3264745972305942,0.859622061252594,0.95116186,0.0486393466631252,0.2950235987819953,0.8468037843704224,0.94128036,0.0761283413819237,0.3474812839493162,0.8513795137405396,0.9470402
8,0.0351669792837862,0.2742005938004438,0.8018065094947815,0.84519637,0.0052027542196751,0.0840732817015896,0.773451030254364,0.6524207,0.0235935000686182,0.3235866944270744,0.8536531329154968,0.9482659,0.1036044272004513,0.3027667494677001,0.8427910208702087,0.82283926,0.0524808602568237,0.300128991615545,0.8398048877716064,0.9198967,0.162838473941674,0.416964838147308,0.8929757475852966,0.9719895,0.0460119701770323,0.3793895721362584,0.8691861629486084,0.9297564,0.0560112813745509,0.3218260822418614,0.8667335510253906,0.9312333,0.0220606186185082,0.3079996249687473,0.852414071559906,0.9328369,0.0357421716298737,0.302328980354718,0.8594209551811218,0.9273827,0.0378980459697514,0.2449961886949619,0.8559622764587402,0.93750536
9,0.0301637040305974,0.2775413886524998,0.770462691783905,0.87192255,0.0392008622498604,0.2470170132325141,0.8109090924263,0.66454655,0.2087293152629925,0.5391118110284946,0.8908377289772034,0.9841938,0.0879637830631583,0.4967359050445104,0.8512461185455322,0.605565,0.0996459053500971,0.4062160965829694,0.8298208713531494,0.9346037,0.4160836802136781,0.7482039876394986,0.9136268496513368,0.89702153,0.4739455816578746,0.6953892668178384,0.9207313060760498,0.95748425,0.445183207455555,0.7326808319392776,0.9409575462341307,0.99352634,0.4622205569360136,0.729086360480963,0.9412068724632264,0.9940542,0.3414458015036657,0.6404799442741985,0.92585951089859,0.93673456,0.3310627178510332,0.6488147867458212,0.9268426299095154,0.9905904
10,0.0191925284214993,0.1705481450434403,0.7674258351325989,0.86089534,0.0517835015039995,0.2607826222533136,0.8063697218894958,0.80705655,0.1044985459034781,0.4032901672750806,0.8289545774459839,0.92896676,0.3929643440956641,0.6241354776497272,0.9130961894989014,0.9738617,0.0771473885371784,0.3158930985271871,0.8373540043830872,0.95870656,0.412367386705018,0.6543870837808808,0.908336877822876,0.934811,0.2184411724418108,0.462696410869059,0.9057248830795288,0.99370235,0.2248636277307182,0.4473938474288462,0.9048902988433838,0.99361825,0.2240283422217839,0.4534019695201358,0.9057202935218812,0.99329054,0.202753493916971,0.4462224426781255,0.9013802409172058,0.9929545,0.7531717292732257,0.9036593006678988,0.9750285744667052,0.99838805
