model,average_rank
meteor_google,3.2580645161290325
meteor_maritaca_p2,3.3548387096774195
meteor_chatgpt_p1,3.903225806451613
meteor_chatgpt_p2,4.096774193548387
meteor_maritaca_p1,4.161290322580645
meteor_marianmt_pt,5.67741935483871
meteor_marianmt_ft,6.225806451612903
meteor_mbart_ft,7.096774193548387
meteor_mbart_pt,7.225806451612903
meteor_openrnn_opus,10.258064516129032
meteor_openrnn_ft,10.741935483870968
