,bertscore_openrnn,bertscore_marianmt,bertscore_mbart,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn,1.0,0.0,4.611626229444887e-06,0.0,0.0,0.0,0.0,0.0
bertscore_marianmt,0.0,1.0,1.754586254065771e-08,0.0,0.0,0.0,0.0,0.0
bertscore_mbart,4.611626229444887e-06,1.754586254065771e-08,1.0,0.0,0.0,0.0,0.0,0.0
bertscore_google,0.0,0.0,0.0,1.0,0.9999928837781906,0.02289129164031023,0.0003122860867558197,4.924810201867302e-07
bertscore_chatgpt_p1,0.0,0.0,0.0,0.9999928837781906,1.0,0.008660342546187083,8.323043005920017e-05,9.173427872877227e-08
bertscore_chatgpt_p2,0.0,0.0,0.0,0.02289129164031023,0.008660342546187083,1.0,0.9570207870190464,0.26649579627430886
bertscore_maritaca_p1,0.0,0.0,0.0,0.0003122860867558197,8.323043005920017e-05,0.9570207870190464,1.0,0.9167619254244888
bertscore_maritaca_p2,0.0,0.0,0.0,4.924810201867302e-07,9.173427872877227e-08,0.26649579627430886,0.9167619254244888,1.0
