,bleu_openrnn_opus,bleu_marianmt_pt,bleu_mbart_pt,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.0,4.058021361164066e-07,0.0,0.0,0.0,0.0,0.0
bleu_marianmt_pt,0.0,1.0,8.202133416901347e-10,0.0,0.0,0.0,0.0,1.6365908628301895e-10
bleu_mbart_pt,4.058021361164066e-07,8.202133416901347e-10,1.0,0.0,0.0,0.0,0.0,0.0
bleu_google,0.0,0.0,0.0,1.0,0.1275657953988404,2.1466923683099992e-07,3.709477169877573e-11,0.0
bleu_chatgpt_p1,0.0,0.0,0.0,0.1275657953988404,1.0,0.041739260791042065,0.0002788429710423035,1.3726597636321003e-10
bleu_chatgpt_p2,0.0,0.0,0.0,2.1466923683099992e-07,0.041739260791042065,1.0,0.8928743717406749,0.0033922656444711485
bleu_maritaca_p1,0.0,0.0,0.0,3.709477169877573e-11,0.0002788429710423035,0.8928743717406749,1.0,0.19522068354074074
bleu_maritaca_p2,0.0,1.6365908628301895e-10,0.0,0.0,1.3726597636321003e-10,0.0033922656444711485,0.19522068354074074,1.0
