,meteor_openrnn_opus,meteor_marianmt_pt,meteor_mbart_pt,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.0,1.4003632635706253e-06,0.0,0.0,0.0,0.0,0.0
meteor_marianmt_pt,0.0,1.0,1.2990719611138957e-12,0.0,0.0,0.0,0.0,3.122781333519953e-08
meteor_mbart_pt,1.4003632635706253e-06,1.2990719611138957e-12,1.0,0.0,0.0,0.0,0.0,0.0
meteor_google,0.0,0.0,0.0,1.0,0.2980329682824939,3.5070679793580695e-07,5.117719914515817e-09,0.0
meteor_chatgpt_p1,0.0,0.0,0.0,0.2980329682824939,1.0,0.015524513222632486,0.0011537467828902637,2.742617244422263e-11
meteor_chatgpt_p2,0.0,0.0,0.0,3.5070679793580695e-07,0.015524513222632486,1.0,0.9974393668398236,0.004673916248414733
meteor_maritaca_p1,0.0,0.0,0.0,5.117719914515817e-09,0.0011537467828902637,0.9974393668398236,1.0,0.04726374149598056
meteor_maritaca_p2,0.0,3.122781333519953e-08,0.0,0.0,2.742617244422263e-11,0.004673916248414733,0.04726374149598056,1.0
