,bartscore_openrnn_opus,bartscore_marianmt_pt,bartscore_mbart_pt,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.0,0.00010574923484019116,0.0,0.0,0.0,0.0,0.0
bartscore_marianmt_pt,0.0,1.0,2.220446049250313e-16,0.0,0.0,0.0,6.661338147750939e-16,1.5432100042289676e-14
bartscore_mbart_pt,0.00010574923484019116,2.220446049250313e-16,1.0,0.0,0.0,0.0,0.0,0.0
bartscore_google,0.0,0.0,0.0,1.0,0.7300638936479278,0.9999999850086886,0.9828685290311496,0.8992041202328982
bartscore_chatgpt_p1,0.0,0.0,0.0,0.7300638936479278,1.0,0.7987444064874416,0.168184951857687,0.06612548235339144
bartscore_chatgpt_p2,0.0,0.0,0.0,0.9999999850086886,0.7987444064874416,1.0,0.9666335380915044,0.8499058796161358
bartscore_maritaca_p1,0.0,6.661338147750939e-16,0.0,0.9828685290311496,0.168184951857687,0.9666335380915044,1.0,0.9999584057012646
bartscore_maritaca_p2,0.0,1.5432100042289676e-14,0.0,0.8992041202328982,0.06612548235339144,0.8499058796161358,0.9999584057012646,1.0
