,meteor_openrnn_opus,meteor_marianmt_pt,meteor_mbart_pt,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meteor_marianmt_pt,0.0,1.0,2.8842477295398794e-07,0.0,0.0,2.2570834090629432e-13,8.783269778156466e-09,0.19168535905769646
meteor_mbart_pt,0.0,2.8842477295398794e-07,1.0,0.0,0.0,0.0,0.0,5.218048215738236e-15
meteor_google,0.0,0.0,0.0,1.0,0.9996644224650172,0.0005447146020568505,2.746186483770785e-07,0.0
meteor_chatgpt_p1,0.0,0.0,0.0,0.9996644224650172,1.0,0.004249015383586463,4.611626229444887e-06,0.0
meteor_chatgpt_p2,0.0,2.2570834090629432e-13,0.0,0.0005447146020568505,0.004249015383586463,1.0,0.8210070529699138,4.0287534518457235e-06
meteor_maritaca_p1,0.0,8.783269778156466e-09,0.0,2.746186483770785e-07,4.611626229444887e-06,0.8210070529699138,1.0,0.0038599576534719127
meteor_maritaca_p2,0.0,0.19168535905769646,5.218048215738236e-15,0.0,0.0,4.0287534518457235e-06,0.0038599576534719127,1.0
