,bartscore_openrnn_opus,bartscore_marianmt_pt,bartscore_mbart_pt,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bartscore_marianmt_pt,0.0,1.0,2.0113407606103806e-09,0.0146665723920828,0.05211947544654272,0.9994856274094016,0.04726374149598056,0.9999999134953635
bartscore_mbart_pt,0.0,2.0113407606103806e-09,1.0,0.0,0.0,6.106546823758663e-08,0.0,5.403409941706627e-09
bartscore_google,0.0,0.0146665723920828,0.0,1.0,0.9999249173959771,0.0019981560128305986,0.9999584057012646,0.00866034254618675
bartscore_chatgpt_p1,0.0,0.05211947544654272,0.0,0.9999249173959771,1.0,0.00919468780528987,0.9999999999976487,0.03318175449650085
bartscore_chatgpt_p2,0.0,0.9994856274094016,6.106546823758663e-08,0.0019981560128305986,0.00919468780528987,1.0,0.008154352462909409,0.9999437337326317
bartscore_maritaca_p1,0.0,0.04726374149598056,0.0,0.9999584057012646,0.9999999999976487,0.008154352462909409,1.0,0.02989520212142338
bartscore_maritaca_p2,0.0,0.9999999134953635,5.403409941706627e-09,0.00866034254618675,0.03318175449650085,0.9999437337326317,0.02989520212142338,1.0
