,bertscore_openrnn,bertscore_marianmt,bertscore_mbart,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn,1.0,0.0,1.1171208266547161e-05,0.0,0.0,0.0,0.0,0.0
bertscore_marianmt,0.0,1.0,5.229150445984487e-14,0.0,0.0,0.0,0.0,3.0531133177191805e-14
bertscore_mbart,1.1171208266547161e-05,5.229150445984487e-14,1.0,0.0,0.0,0.0,0.0,0.0
bertscore_google,0.0,0.0,0.0,1.0,0.02989520212142338,0.9996644224650172,0.9993701776564204,0.08311201652658251
bertscore_chatgpt_p1,0.0,0.0,0.0,0.02989520212142338,1.0,0.005301293265266738,0.00438652590682409,4.047219159808435e-08
bertscore_chatgpt_p2,0.0,0.0,0.0,0.9996644224650172,0.005301293265266738,1.0,0.9999999999598654,0.26649579627430886
bertscore_maritaca_p1,0.0,0.0,0.0,0.9993701776564204,0.00438652590682409,0.9999999999598654,1.0,0.293402268009212
bertscore_maritaca_p2,0.0,3.0531133177191805e-14,0.0,0.08311201652658251,4.047219159808435e-08,0.26649579627430886,0.293402268009212,1.0
