,bartscore_openrnn_opus,bartscore_marianmt_pt,bartscore_mbart_pt,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.0,0.27529525952266654,0.0,0.0,0.0,0.0,0.0
bartscore_marianmt_pt,0.0,1.0,0.0,0.0,6.661338147750939e-16,1.2872258814411452e-09,1.609931188362168e-09,0.0029774568116680555
bartscore_mbart_pt,0.27529525952266654,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bartscore_google,0.0,0.0,0.0,1.0,0.9939917907940088,0.13832607085423976,0.1275657953988404,2.030841946387696e-06
bartscore_chatgpt_p1,0.0,6.661338147750939e-16,0.0,0.9939917907940088,1.0,0.5740240549985259,0.5508580647837489,0.00011446985947505262
bartscore_chatgpt_p2,0.0,1.2872258814411452e-09,0.0,0.13832607085423976,0.5740240549985259,1.0,0.9999999999976487,0.11263963257717635
bartscore_maritaca_p1,0.0,1.609931188362168e-09,0.0,0.1275657953988404,0.5508580647837489,0.9999999999976487,1.0,0.12243090791562694
bartscore_maritaca_p2,0.0,0.0029774568116680555,0.0,2.030841946387696e-06,0.00011446985947505262,0.11263963257717635,0.12243090791562694,1.0
