,bleu_openrnn_opus,bleu_marianmt_pt,bleu_mbart_pt,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.0,0.011643926235513913,0.0,0.0,0.0,0.0,0.0
bleu_marianmt_pt,0.0,1.0,0.0,6.763292081934935e-08,0.0,0.0,7.774891841449971e-13,3.1808858491633174e-07
bleu_mbart_pt,0.011643926235513913,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bleu_google,0.0,6.763292081934935e-08,0.0,1.0,1.61066241710639e-06,0.007445649950661659,0.7248452448013107,0.999996235594022
bleu_chatgpt_p1,0.0,0.0,0.0,1.61066241710639e-06,1.0,0.6086350788297601,0.0038599576534719127,3.682115762293492e-07
bleu_chatgpt_p2,0.0,0.0,0.0,0.007445649950661659,0.6086350788297601,1.0,0.504654622371539,0.002788157210912967
bleu_maritaca_p1,0.0,7.774891841449971e-13,0.0,0.7248452448013107,0.0038599576534719127,0.504654622371539,1.0,0.5508580647837489
bleu_maritaca_p2,0.0,3.1808858491633174e-07,0.0,0.999996235594022,3.682115762293492e-07,0.002788157210912967,0.5508580647837489,1.0
