model,average_rank
bartscore_google,3.0
bartscore_chatgpt_p1,3.1
bartscore_chatgpt_p2,3.1
bartscore_maritaca_p2,3.5
bartscore_maritaca_p1,3.8666666666666667
bartscore_marianmt_pt,5.4
bartscore_marianmt_ft,7.166666666666667
bartscore_mbart_pt,8.1
bartscore_mbart_ft,9.166666666666666
bartscore_openrnn_opus,9.333333333333334
bartscore_openrnn_ft,10.266666666666667
