,meteor_openrnn_opus,meteor_marianmt_pt,meteor_mbart_pt,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.0,0.22905559873913417,0.0,0.0,0.0,0.0,0.0
meteor_marianmt_pt,0.0,1.0,0.0,2.318031124970421e-05,0.0,0.0,0.0,0.0
meteor_mbart_pt,0.22905559873913417,0.0,1.0,0.0,0.0,0.0,0.0,0.0
meteor_google,0.0,2.318031124970421e-05,0.0,1.0,4.630740235711528e-13,5.008649051063685e-11,0.0,0.0
meteor_chatgpt_p1,0.0,0.0,0.0,4.630740235711528e-13,1.0,0.9985526699977283,0.9413468324641447,0.6597101473026675
meteor_chatgpt_p2,0.0,0.0,0.0,5.008649051063685e-11,0.9985526699977283,1.0,0.6258059462143943,0.2578687012673828
meteor_maritaca_p1,0.0,0.0,0.0,0.0,0.9413468324641447,0.6258059462143943,1.0,0.9991573778171255
meteor_maritaca_p2,0.0,0.0,0.0,0.0,0.6597101473026675,0.2578687012673828,0.9991573778171255,1.0
