,bartscore_openrnn_opus,bartscore_marianmt_pt,bartscore_mbart_pt,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.0,4.7125220609567364e-05,0.0,0.0,0.0,0.0,0.0
bartscore_marianmt_pt,0.0,1.0,0.0,5.5491167216814574e-12,6.661338147750939e-16,2.220446049250313e-15,1.7866819135292644e-12,0.0
bartscore_mbart_pt,4.7125220609567364e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bartscore_google,0.0,5.5491167216814574e-12,0.0,1.0,0.9570207870190464,0.9768837492392981,0.9999999134953635,0.7703803941476091
bartscore_chatgpt_p1,0.0,6.661338147750939e-16,0.0,0.9570207870190464,1.0,0.9999999850086886,0.9810225145317495,0.9997881163791528
bartscore_chatgpt_p2,0.0,2.220446049250313e-15,0.0,0.9768837492392981,0.9999999850086886,1.0,0.9912431306228396,0.9990744793945775
bartscore_maritaca_p1,0.0,1.7866819135292644e-12,0.0,0.9999999134953635,0.9810225145317495,0.9912431306228396,1.0,0.8499058796161378
bartscore_maritaca_p2,0.0,0.0,0.0,0.7703803941476091,0.9997881163791528,0.9990744793945775,0.8499058796161378,1.0
